time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-01T19:55:32.190Z,18.4561,-68.8325,118,3.38,md,5,204,0.4548,0.17,pr,pr2019001006,2019-01-02T19:02:50.040Z,"5km NE of Guaymate, Dominican Republic",earthquake,8.51,1.5,0.18,3,reviewed,pr,pr
2019-01-01T19:22:46.160Z,-10.5218,108.4782,10,4.4,mb,,44,2.779,0.98,us,us2000izp9,2019-01-02T18:56:35.040Z,"299km S of Citotok, Indonesia",earthquake,8.4,1.9,0.093,37,reviewed,us,us
2019-01-01T18:42:28.690Z,18.3798,-68.0563,87,2.57,md,7,177,0.3517,0.42,pr,pr2019001005,2019-01-02T17:58:11.040Z,"44km SE of Punta Cana, Dominican Republic",earthquake,6.65,2.78,0.36,6,reviewed,pr,pr
2019-01-01T18:37:46.980Z,41.9249,13.5165,16.18,4.3,mb,,31,0.302,0.98,us,us2000izp2,2019-01-02T17:35:07.051Z,"3km SSW of Trasacco, Italy",earthquake,4.9,5.1,0.09,36,reviewed,us,us
2019-01-01T18:17:45.150Z,16.6594,-86.1453,10,4.3,mb,,43,2.806,0.98,us,us2000izny,2019-01-02T17:24:47.040Z,"38km NW of Guanaja, Honduras",earthquake,7,2,0.072,55,reviewed,us,us
2019-01-01T17:48:27.636Z,61.4986,-149.9221,27.3,3.7,ml,,,,0.67,ak,ak0191xy282,2019-01-03T05:14:30.834Z,"3km SE of Big Lake, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-01-01T17:37:13.998Z,61.338,-150.138,22.6,2.8,ml,,,,0.68,ak,ak0191xvoec,2019-01-02T17:00:09.040Z,"17km NNW of Anchorage, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-01-01T16:39:16.640Z,29.4424,51.2714,10,4.5,mb,,71,6.273,0.98,us,us2000iznl,2019-01-01T18:27:21.040Z,"20km NNE of Borazjan, Iran",earthquake,5,1.8,0.081,45,reviewed,us,us
2019-01-01T16:25:37.050Z,-9.5315,122.7267,70.13,5,mb,,57,1.012,1.07,us,us2000iznk,2019-01-01T23:20:24.692Z,"94km SSE of Habibola, Indonesia",earthquake,7.5,5.4,0.067,72,reviewed,us,us
2019-01-01T15:41:04.850Z,36.6923,71.0217,234.64,4.2,mb,,69,0.979,0.84,us,us2000iznh,2019-01-01T19:21:27.040Z,"25km SE of Jarm, Afghanistan",earthquake,7.7,6.3,0.186,8,reviewed,us,us
2019-01-01T13:37:40.339Z,56.3592,-153.9978,28.5,3.4,ml,,,,0.81,ak,ak0191vi02q,2019-01-01T18:44:15.040Z,"117km ENE of Chirikof Island, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-01-01T13:34:51.100Z,14.0446,144.7296,189.36,4.4,mb,,99,0.472,1.11,us,us2000iznb,2019-01-01T18:16:35.040Z,"52km WSW of Rota, Northern Mariana Islands",earthquake,14,7.5,0.082,43,reviewed,us,us
2019-01-01T12:25:34.620Z,-10.5152,108.5251,10,4.9,mb,,63,2.825,0.98,us,us2000izmy,2019-01-01T12:43:35.040Z,"298km S of Citotok, Indonesia",earthquake,5.3,1.7,0.072,61,reviewed,us,us
2019-01-01T12:01:46.950Z,34.1781667,-117.3446667,8.88,2.5,ml,110,25,0.03332,0.15,ci,ci38412688,2019-01-04T02:19:57.520Z,"3km N of Muscoy, CA",earthquake,0.1,0.21,0.192,23,reviewed,ci,ci
2019-01-01T11:55:01.300Z,5.3473,94.5547,40.2,4.9,mww,,136,2.385,0.92,us,us2000izmv,2019-01-01T16:29:50.213Z,"88km WSW of Banda Aceh, Indonesia",earthquake,7.2,5.6,0.075,17,reviewed,us,us
2019-01-01T11:40:05.910Z,34.7591,23.8408,10,4.8,mb,,72,1.009,1.07,us,us2000izms,2019-01-01T11:54:59.040Z,"54km SSE of Palaiochora, Greece",earthquake,4.2,1.8,0.071,61,reviewed,us,us
2019-01-01T11:22:00.110Z,18.2185,-67.0878,77,2.5,md,11,169,0.0428,0.08,pr,pr2019001002,2019-01-01T16:06:05.963Z,"5km ENE of Mayaguez, Puerto Rico",earthquake,0.61,0.64,0.47,9,reviewed,pr,pr
2019-01-01T11:12:52.960Z,55.8447,-149.3305,6.92,3.9,mb,,163,2.64,0.63,us,us2000izmr,2019-01-01T11:31:32.040Z,"286km SE of Kodiak, Alaska",earthquake,4.7,7.7,0.163,10,reviewed,us,us
